h210-02513     Trâu TV                 93.3012 | sem 93.9713 ev 89.5073 mcp 93.9713 cons 93.9713 sch 93.9713 cal 93.9619 wf 93.9713 eff 93.9713 | gates 0
h209-02470     Devtamin                93.2887 | sem 93.9707 ev 89.5019 mcp 93.9707 cons 93.9707 sch 93.9707 cal 93.7358 wf 93.9707 eff 93.9707 | gates 0
h209-02798     hdd                     93.2629 | sem 93.9696 ev 89.5008 mcp 93.9696 cons 93.9696 sch 93.9696 cal  93.868 wf 93.9696 eff 93.3432 | gates 0
h210-02723     K4-L3B-ColdBrew         92.9148 | sem 92.3445 ev 91.3927 mcp 93.9552 cons 93.9552 sch 93.9552 cal 93.7203 wf 93.9552 eff 93.9552 | gates 0
h210-02647     K4-L3B-ColdBrew         92.4321 | sem 91.6089 ev 91.0695 mcp  93.935 cons  93.935 sch  93.935 cal 93.5874 wf  93.935 eff   91.43 | gates 0
h209-02627     Czpl                    92.3894 | sem 93.9332 ev 88.0371 mcp 93.9332 cons 93.9332 sch 93.9332 cal 93.8956 wf 93.9332 eff 80.7825 | gates 0
h210-02983     AIGANG                  92.1127 | sem 90.9696 ev 90.1646 mcp 93.9214 cons 93.9214 sch 93.9214 cal 93.8839 wf 93.9214 eff 92.6692 | gates 0
h209-02844     TooSweeet                92.067 | sem 90.9678 ev 89.4531 mcp 93.9196 cons 93.9196 sch 93.9196 cal  93.882 wf 93.9196 eff 93.9196 | gates 0
h209-02476     anam                    92.0092 | sem 90.9653 ev 91.0521 mcp  93.917 cons  93.917 sch  93.917 cal 92.9779 wf  93.917 eff 88.9082 | gates 0
h210-02619     Enigma                  91.9913 | sem 90.9646 ev 89.0327 mcp 93.9163 cons 93.9163 sch 93.9163 cal 93.6815 wf 93.9163 eff 93.9163 | gates 0
h210-02394     K4-L3B-botusieudang     91.9766 | sem  90.964 ev 89.1725 mcp 93.9157 cons 93.9157 sch 93.9157 cal 93.9157 wf 93.9157 eff 92.9765 | gates 0
h209-02852     ThieuNu                 91.8971 | sem 90.9607 ev 89.7865 mcp 93.9123 cons 93.9123 sch 93.9123 cal  92.729 wf 93.9123 eff 90.7819 | gates 0
h209-02769     Duy Còm TV - ngao        91.883 | sem 90.9601 ev 88.3453 mcp 93.9117 cons 93.9117 sch 93.9117 cal 93.6487 wf 93.9117 eff 93.9117 | gates 0
h209-02468     Studio.h                91.8744 | sem 90.9598 ev 89.3694 mcp 93.9113 cons 93.9113 sch 93.9113 cal 93.5413 wf 93.9113 eff  90.781 | gates 0
