   score gates | sem evi mcp con sch cal wf eff | team
   92.99     0 | 94.0 87.6 94.0 94.0 94.0 93.7 94.0 94.0 | h209-02470
   92.67     0 | 92.3 91.6 93.9 93.9 93.9 93.7 93.9 88.6 | h210-02723
   92.39     0 | 93.9 88.0 93.9 93.9 93.9 93.9 93.9 80.8 | h209-02627
   92.07     0 | 91.0 89.5 93.9 93.9 93.9 93.9 93.9 93.9 | h209-02844
   92.05     0 | 93.9 88.0 93.9 93.9 93.9 93.9 93.9 74.2 | h209-02375
   91.90     0 | 91.0 89.4 93.9 93.9 93.9 93.8 93.9 90.8 | h209-02798
   91.89     0 | 91.0 89.0 93.9 93.9 93.9 93.7 93.9 92.0 | h210-02619
   91.81     0 | 91.8 90.4 93.9 93.9 93.9 90.3 93.9 83.3 | h210-02756
   91.45     0 | 90.9 88.7 93.9 93.9 93.9 93.6 93.9 84.5 | h209-02652
   91.32     0 | 90.9 89.3 93.9 93.9 93.9 92.7 93.9 81.1 | h209-02852
   90.71     0 | 88.0 92.7 93.9 88.9 93.9 92.9 93.9 92.6 | h210-03008
   90.66     0 | 90.9 89.9 93.9 88.9 93.9 93.9 93.9 75.4 | h210-02394
   90.34     0 | 87.7 87.3 93.8 93.8 93.8 92.7 93.8 93.8 | h209-02534
   90.30     0 | 90.9 84.4 93.8 93.8 93.8 92.7 93.8 76.0 | h209-02623
   90.06     0 | 90.9 88.8 93.8 93.8 93.8 93.5 93.8 57.2 | h209-02468
   89.94     0 | 90.6 80.0 93.8 93.8 93.8 92.7 93.8 84.4 | h210-02732
   89.84     0 | 90.9 83.3 93.8 93.8 93.8 93.1 93.8 70.1 | h210-02813
   89.75     0 | 90.9 90.3 93.8 93.8 93.8 92.3 93.8 48.2 | h209-02536
   89.58     0 | 90.9 81.4 93.8 93.8 93.8 92.9 93.8 71.0 | h209-02449
   89.55     0 | 90.1 84.6 93.8 93.8 93.8 87.6 93.8 72.5 | h209-02769
   89.33     0 | 90.3 84.2 93.8 93.8 93.8 92.3 93.8 62.5 | h209-02828
   89.28     0 | 90.3 84.4 93.8 88.8 93.8 93.8 93.8 69.7 | h210-03002
   88.95     0 | 92.2 84.5 93.8 90.7 93.8 93.3 93.8 44.7 | h210-02413
   88.88     0 | 83.3 90.0 93.8 93.8 93.8 93.7 93.8 90.7 | h210-02983
   88.86     0 | 90.8 68.9 93.8 93.8 93.8 93.5 93.8 93.8 | h209-02684
   88.73     0 | 90.8 83.2 93.8 93.8 93.8 92.8 93.8 49.1 | h210-02504
   88.56     0 | 90.8 84.5 93.8 93.8 93.8 93.7 93.8 41.3 | h210-03001
   87.94     0 | 90.8 89.6 93.7 93.7 93.7 92.8 93.7 14.7 | h209-02476
   87.60     0 | 92.1 83.5 93.7 93.7 93.7 93.5 93.7 15.0 | h209-02467
   87.51     0 | 84.6 84.4 93.7 93.7 93.7 89.8 93.7 74.3 | h209-02737
   87.03     0 | 89.7 84.5 93.7 93.7 93.7 89.2 93.7 24.7 | h210-03012
   86.98     0 | 90.2 83.5 93.7 88.7 93.7 93.5 93.7 28.1 | h209-02417
   86.52     0 | 82.7 81.5 93.7 88.7 93.7 89.6 93.7 89.0 | h210-02452
   85.50     0 | 86.9 83.7 93.6 88.6 93.6 91.9 93.6 26.2 | h209-02880
   84.94     0 | 85.4 83.4 93.6 88.6 93.6 93.4 93.6 26.8 | h210-02987
   84.78     0 | 82.2 83.4 93.6 93.6 93.6 91.1 93.6 41.8 | h210-02970
   84.23     0 | 82.3 83.4 93.6 93.6 93.6 89.8 93.6 31.2 | h210-02644
   84.05     0 | 74.2 90.2 93.5 89.8 93.5 83.3 93.5 86.1 | h210-02721
   83.32     0 | 75.6 89.3 93.5 90.4 93.5 92.9 93.5 52.4 | h210-02791
   83.12     0 | 88.4 65.6 93.5 88.5 93.5 93.3 92.7 21.2 | h209-02450
   81.86     0 | 88.4 32.7 93.4 89.7 93.4 92.1 93.4 93.4 | h210-02921
   79.06     0 | 73.6 81.0 93.3 93.3 93.3 72.6 93.3 24.3 | h209-02853
   77.38     0 | 70.6 81.6 93.2 90.1 93.2 92.3 93.2 0.0 | h209-02765
   76.37     0 | 71.6 83.0 93.1 85.1 93.1 70.2 93.1 0.0 | h209-02590
   75.90     0 | 70.5 83.0 93.1 88.1 93.1 80.0 2.2 74.2 | h209-02832
   72.94     0 | 60.0 82.8 92.9 88.0 92.9 84.5 92.9 5.6 | h210-02718
   72.49     0 | 65.2 67.0 92.9 90.4 92.9 82.0 92.9 0.0 | h209-02740
   71.59     9 | 71.6 69.5 76.1 73.0 76.1 75.9 76.1 48.0 | h210-02956
   71.52     0 | 58.0 89.9 92.8 87.9 92.8 57.0 92.8 0.0 | h201-02694
   68.76     0 | 49.0 87.8 92.6 92.6 92.6 71.9 92.6 0.0 | h210-02870
